kadai_id,status,do_person,task,plan_hour,due_date,actual_hour,do_date,created_at,updated_at
1,99_Close,浅,課題管理表を作成する,0.5,2017/7/23,1.2,2017/7/23,30:58.9,30:58.9
1,99_Close,浅,課題管理表に説明のための注釈をつける,0.1,2017/7/23,0.2,2017/7/23,30:58.9,30:58.9
1,99_Close,浅,週次報告管理シートを作成する,0.4,2017/7/23,0.4,2017/7/23,30:59.0,30:59.0
1,99_Close,浅,サンプルデータを入力する,0.2,2017/7/23,0.5,2017/7/23,30:59.0,30:59.0
2,99_Close,浅,yahooからデータを参照し、カード毎に支払った広告費を計算する,0.3,2017/7/25,1,2017/7/25,30:59.0,30:59.0
2,99_Close,浅,5月の会計データをマネーフォワードを基に入力する,0.5,2017/7/31,0.8,2017/8/2,30:59.0,30:59.0
2,99_Close,浅,6月の会計データをマネーフォワードを基に入力する,0.5,2017/8/8,0.6,2017/8/8,30:59.0,30:59.0
55,99_Close,浅,7月1日時点での資産額と比較して誤差とその原因を確かめる,3,2017/8/8,1,2017/8/9,30:59.0,30:59.0
3,99_Close,浅,現時点で月にいくら利益が出ているか確認する,0.1,2017/7/23,0.1,2017/7/23,30:59.0,30:59.0
3,99_Close,浅,月にいくら返せるか試算する,0.1,2017/7/23,0.1,2017/7/23,30:59.0,30:59.0
3,99_Close,浅,何月に返済できるかを計算する,0.1,2017/7/23,0.1,2017/7/23,30:59.0,30:59.0
3,99_Close,浅,返済計画表を作る。負債総額を把握し、毎月の返済額、返済期限を設定する。,0.5,2017/7/26,0.1,2017/7/24,30:59.0,30:59.0
3,99_Close,浅,ミーティングでメンバーと返済計画について合意を取る,0.3,2017/7/25,0.3,2017/7/25,30:59.0,30:59.0
4,99_Close,浅,現在の経費ルールを洗い出す,0.5,2017/7/23,0.1,2017/7/23,30:59.0,30:59.0
4,99_Close,浅,現在の経費に関する問題点を列挙して、優先順位付けをする,0.5,2017/7/23,0.1,2017/7/23,30:59.0,30:59.0
4,99_Close,浅,経費のルールの改善案を作成する,1,2017/7/27,0.6,2017/7/29,30:59.1,30:59.1
4,99_Close,浅,新たな経費ルールについてミーティングでフィードバックを受ける,,2017/7/31,,,30:59.1,30:59.1
4,99_Close,浅,経費ルールにフィードバックを加えて完成版を作成する,,2017/8/1,,,30:59.1,30:59.1
4,99_Close,浅,経費ルールの再確認を行う。書面で確認してもらう。,0.1,2017/8/8,0.2,2017/8/12,30:59.1,30:59.1
5,99_Close,浅,今の週次報告・フィードバックについて現状分析する,0.3,2017/7/23,0.1,2017/7/23,30:59.1,30:59.1
