id,kadai_id,status,do_person,task,plan_hour,due_date,actual_hour,do_date,created_at,updated_at
1,1,99_Close,"浅","課題管理表を作成する",0.5,2017-07-23,1.2,2017-07-23,"2017-10-22 12:30:58.938669","2017-10-22 12:30:58.938669"
2,1,99_Close,"浅","課題管理表に説明のための注釈をつける",0.1,2017-07-23,0.2,2017-07-23,"2017-10-22 12:30:58.946547","2017-10-22 12:30:58.946547"
3,1,99_Close,"浅","週次報告管理シートを作成する",0.4,2017-07-23,0.4,2017-07-23,"2017-10-22 12:30:58.953165","2017-10-22 12:30:58.953165"
4,1,99_Close,"浅","サンプルデータを入力する",0.2,2017-07-23,0.5,2017-07-23,"2017-10-22 12:30:58.958794","2017-10-22 12:30:58.958794"
5,2,99_Close,"浅","yahooからデータを参照し、カード毎に支払った広告費を計算する",0.3,2017-07-25,1.0,2017-07-25,"2017-10-22 12:30:58.965720","2017-10-22 12:30:58.965720"
6,2,99_Close,"浅","5月の会計データをマネーフォワードを基に入力する",0.5,2017-07-31,0.8,2017-08-02,"2017-10-22 12:30:58.971646","2017-10-22 12:30:58.971646"
7,2,99_Close,"浅","6月の会計データをマネーフォワードを基に入力する",0.5,2017-08-08,0.6,2017-08-08,"2017-10-22 12:30:58.978384","2017-10-22 12:30:58.978384"
8,55,99_Close,"浅","7月1日時点での資産額と比較して誤差とその原因を確かめる",3.0,2017-08-08,1.0,2017-08-09,"2017-10-22 12:30:58.987013","2017-10-22 12:30:58.987013"
9,3,99_Close,"浅","現時点で月にいくら利益が出ているか確認する",0.1,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:58.994037","2017-10-22 12:30:58.994037"
10,3,99_Close,"浅","月にいくら返せるか試算する",0.1,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:58.999771","2017-10-22 12:30:58.999771"
11,3,99_Close,"浅","何月に返済できるかを計算する",0.1,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:59.006354","2017-10-22 12:30:59.006354"
12,3,99_Close,"浅","返済計画表を作る。負債総額を把握し、毎月の返済額、返済期限を設定する。",0.5,2017-07-26,0.1,2017-07-24,"2017-10-22 12:30:59.020611","2017-10-22 12:30:59.020611"
13,3,99_Close,"浅","ミーティングでメンバーと返済計画について合意を取る",0.3,2017-07-25,0.3,2017-07-25,"2017-10-22 12:30:59.035471","2017-10-22 12:30:59.035471"
14,4,99_Close,"浅","現在の経費ルールを洗い出す",0.5,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:59.041978","2017-10-22 12:30:59.041978"
15,4,99_Close,"浅","現在の経費に関する問題点を列挙して、優先順位付けをする",0.5,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:59.048185","2017-10-22 12:30:59.048185"
16,4,99_Close,"浅","経費のルールの改善案を作成する",1.0,2017-07-27,0.6,2017-07-29,"2017-10-22 12:30:59.054460","2017-10-22 12:30:59.054460"
17,4,99_Close,"浅","新たな経費ルールについてミーティングでフィードバックを受ける",,2017-07-31,,,"2017-10-22 12:30:59.061845","2017-10-22 12:30:59.061845"
18,4,99_Close,"浅","経費ルールにフィードバックを加えて完成版を作成する",,2017-08-01,,,"2017-10-22 12:30:59.069390","2017-10-22 12:30:59.069390"
19,4,99_Close,"浅","経費ルールの再確認を行う。書面で確認してもらう。",0.1,2017-08-08,0.2,2017-08-12,"2017-10-22 12:30:59.075146","2017-10-22 12:30:59.075146"
20,5,99_Close,"浅","今の週次報告・フィードバックについて現状分析する",0.3,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:59.082846","2017-10-22 12:30:59.082846"
21,5,99_Close,"浅","報告すべき事項、フィードバックを受ける内容を列挙する。",0.5,2017-07-23,0.5,2017-07-23,"2017-10-22 12:30:59.090650","2017-10-22 12:30:59.090650"
22,5,99_Close,"浅","タスクNo.22を踏まえて週次報告管理シートを更新する",0.3,2017-07-23,0.5,2017-07-23,"2017-10-22 12:30:59.098502","2017-10-22 12:30:59.098502"
23,5,99_Close,"浅","週次報告までに行うべきタスクを定義する",0.2,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:59.106374","2017-10-22 12:30:59.106374"
24,5,99_Close,"浅","週次報告管理シートに沿った週次報告ミーティングの流れを作成する",0.4,2017-07-23,0.1,2017-07-23,"2017-10-22 12:30:59.114641","2017-10-22 12:30:59.114641"
25,5,99_Close,"浅","週次報告管理シートの説明資料を作成する",0.5,2017-07-24,0.1,2017-07-24,"2017-10-22 12:30:59.138550","2017-10-22 12:30:59.138550"
26,5,99_Close,"浅","ミーティングで説明し、承認を得る",0.4,2017-07-25,0.2,2017-07-25,"2017-10-22 12:30:59.146713","2017-10-22 12:30:59.146713"
27,6,99_Close,"作村","アフィリエイトリンクタグの書き換え",0.5,2017-07-25,,,"2017-10-22 12:30:59.154338","2017-10-22 12:30:59.154338"
28,7,99_Close,"吉野","課題の洗い出しを行い、課題表に記載する",2.0,2017-07-26,4.0,2017-07-26,"2017-10-22 12:30:59.162531","2017-10-22 12:30:59.162531"
29,8,99_Close,"吉野","先月分の売上・支出をまとめ、グーグルドライブに上げる",2.0,2017-08-01,2.5,2017-08-01,"2017-10-22 12:30:59.170146","2017-10-22 12:30:59.170146"
30,9,99_Close,"吉野","先週分の売上・支出をまとめ、グーグルドライブに上げる",1.5,2017-08-07,1.5,2017-08-07,"2017-10-22 12:30:59.178081","2017-10-22 12:30:59.178081"
31,9,99_Close,"吉野","先週分の売上・支出をまとめ、グーグルドライブに上げる",1.5,2017-08-14,6.0,2017-08-14,"2017-10-22 12:30:59.185765","2017-10-22 12:30:59.185765"
32,9,99_Close,"吉野","先週分の売上・支出をまとめ、グーグルドライブに上げる",1.5,2017-08-21,2.5,2017-08-21,"2017-10-22 12:30:59.192632","2017-10-22 12:30:59.192632"
